District,Area,YEAR,Max_Temp,Min_Temp,Rainfall,Humidity,Wind,Cloud,Bright Sunshine,ALT
2,634460,1969,28.4,14.2333333333333,10.66666667,73.33333333,0.533333333,1.6,8.866666667,20
3,497290,1969,29.83333,15.66667,11.33333,74.66667,0.933333,2.533333,8.566667,6
4,976420,1969,31.3,17.4,15.66666667,78.33333333,0.2,0.633333333333334,7.241414141,10
5,765390,1969,29.26666667,14.6,6,71.66666667,0.5,1.86666666666667,8.9,9
6,888530,1969,28.43333333,13.4,32.66666667,76,0.133333333,0.666666666666667,6.554666667,37
7,786200,1969,28.16666667,14.6,19.33333333,77.33333333,0.5,1.36666666666667,7.313793103,9
8,552400,1969,29.33333333,13.4666666666667,19.66666667,71.33333333,1.066666667,1.7,8.866666667,7
9,1007020,1969,30.96666667,16.7,9.333333333,73,0.2,0.6,7.49,4
11,726660,1969,29.43333333,15.0333333333333,12,71.33333333,0.066666667,0.8,7.306896552,6
12,567080,1969,28.43333333,13.0666666666667,15.66666667,75.66666667,0.766666667,1.63333333333333,7.026436782,14
14,1111420,1969,27.9,13.8666666666667,34.33333333,70.66666667,0.533333333,1.63333333333333,7.307619048,20
16,1209490,1969,27.96666667,12.8,22.33333333,83.66666667,0.366666667,1.16666666666667,7.026666667,34
17,1223850,1969,29.3,14.2333333333333,34,76.33333333,1.033333333,2.1,8.733333333,35
11,612048,1970,28.43333333,15.8666666666667,50.33333333,75.66666667,0.2,0.733333333333334,7.306896552,6
2,658210,1970,29.4,14,7.666666667,75.33333333,0.4,1.16666666666667,9.566666667,20
3,517235,1970,28.9,16.43333,53.66667,75.66667,0.966667,2.066667,7.9,6
4,965080,1970,29.8,15.7666666666667,29.33333333,80.66666667,0.466666667,0.766666666666667,7.241414141,10
5,674300,1970,28.46666667,14.7333333333333,11.66666667,71.33333333,0.6,1.3,9.033333333,9
6,893380,1970,30.73333333,12.7666666666667,2.666666667,73.33333333,0.5,0.533333333333333,6.554666667,37
7,686009,1970,28.33333333,13.8333333333333,14.66666667,76.66666667,0.6,1.2,7.313793103,9
8,516210,1970,30.43333333,13.2333333333333,8.666666667,71.33333333,0.933333333,1.36666666666667,9.5,7
9,927445,1970,30.56666667,15.6333333333333,4.333333333,75.33333333,0.266666667,0.833333333333333,7.49,4
12,493655,1970,30.16666667,13.2,4.333333333,74,1.2,1.06666666666667,7.026436782,14
14,1142560,1970,28.16666667,14.3,8.666666667,72,0.7,1.83333333333333,7.307619048,20
16,1286790,1970,32.96666667,12.1666666666667,5.666666667,83,0.566666667,0.5,7.026666667,34
17,1241590,1970,29.16666667,14.5,23,74.33333333,1.666666667,1.76666666666667,9.033333333,35
2,598645,1971,28.4,13.8666666666667,14.66666667,71.66666667,0.7,1,9.433333333,20
3,546425,1971,28.46667,16.43333,14.66667,75,1.133333,1.566667,8.233333,6
4,946545,1971,28.6,14.4666666666667,19.66666667,76.66666667,0.566666667,0.966666666666667,7.241414141,10
5,682250,1971,29.46666667,14.4,32.66666667,72,0.5,1.3,8.033333333,9
6,792830,1971,29.26666667,12.9666666666667,1.666666667,74.66666667,0.4,0.766666666666667,6.554666667,37
7,592870,1971,27.96666667,14.0333333333333,22.33333333,76,0.4,0.833333333333333,7.313793103,9
8,574785,1971,28.63333333,18.9,6.333333333,75,0.666666667,1.4,7.4,7
9,761105,1971,31.16666667,15.8666666666667,3,75.33333333,0.366666667,0.833333333333333,7.49,4
11,736150,1971,28.43333333,15.2666666666667,60,77.33333333,0.4,0.966666666666667,7.306896552,6
12,479555,1971,27.7,13.2,5.666666667,74,0.766666667,1.33333333333333,7.026436782,14
14,928840,1971,29.63333333,14,32.33333333,75.33333333,0.9,1.1,7.307619048,20
16,1294500,1971,29.2,13.0666666666667,17.66666667,82.66666667,0.666666667,1.1,7.026666667,34
17,1075590,1971,28.73333333,14.4,31,73,1.066666667,1.96666666666667,8.666666667,35
2,619855,1972,30,13.8666666666667,4,72.66666667,0.466666667,0.766666666666667,9.4,20
3,569045,1972,32.3,16.66667,1.666667,74.33333,1.2,1.566667,8.766667,6
4,948270,1972,32.23333333,14.5333333333333,3.666666667,72.33333333,0.333333333,1.03333333333333,7.241414141,10
5,737720,1972,31.06666667,14.6666666666667,0,67.66666667,0.6,1.33333333333333,8.7,9
6,741400,1972,30.9,12.3666666666667,1.333333333,74.66666667,0.233333333,0.566666666666667,6.554666667,37
7,742260,1972,28.83333333,13.6,0,74.33333333,0.6,1.2,7.313793103,9
8,536915,1972,31.8,12.9333333333333,0.333333333,66,1.066666667,1.13333333333333,8.733333333,7
9,837565,1972,28.73333333,15.5666666666667,7.666666667,75.33333333,0.6,1.2,7.49,4
11,711710,1972,32.26666667,15.3666666666667,4.666666667,77.66666667,0.4,0.666666666666667,7.306896552,6
12,468950,1972,30.76666667,12.5666666666667,8.333333333,71.66666667,1.3,1.23333333333333,7.026436782,14
14,1114080,1972,32.26666667,13.9333333333333,3.666666667,69.66666667,0.533333333,1.13333333333333,7.307619048,20
16,1298620,1972,32.6,13.8666666666667,3,88.33333333,0.433333333,1.2,7.026666667,34
17,1038635,1972,29.36666667,14.6,1,73.33333333,1,1.5,9.533333333,35
4,924305,1973,28.73333333,15.0666666666667,53.33333333,74.33333333,0.533333333,1.36666666666667,7.241414141,10
2,575340,1973,28.33333333,14.6333333333333,18,76.66666667,0.7,1.1,9.333333333,20
3,579960,1973,29.2,16.43333,102,79.33333,1.5,2.1,8.233333,6
5,726700,1973,27.86666667,15.1,50.33333333,76.33333333,0.666666667,1.93333333333333,8.9,9
6,876485,1973,27.66666667,12.8333333333333,2.666666667,74.66666667,0.433333333,0.866666666666667,6.554666667,37
7,728655,1973,28.16666667,13.6333333333333,35,78.66666667,0.7,1.4,7.313793103,9
8,590930,1973,28.5,13.7,47.33333333,76,0.933333333,1.5,7.833333333,7
9,913040,1973,28.76666667,15.6333333333333,20,75.33333333,0.5,1.1,7.49,4
11,745450,1973,28.2,15.8666666666667,92.66666667,82,0.333333333,1.23333333333333,7.306896552,6
12,386430,1973,29.06666667,13.4,28.33333333,74.66666667,2.133333333,1.46666666666667,7.026436782,14
13,588305,1973,28.9,16.9333333333333,17.32478632,79.23931624,1.033333333,2.53333333333333,6.843678161,3
14,973630,1973,28.73333333,14.6666666666667,8,74.33333333,0.633333333,1.2,7.307619048,20
16,1298830,1973,27.3,13.3666666666667,5.333333333,84.66666667,0.766666667,1.43333333333333,7.026666667,34
17,1117485,1973,28.23333333,14.6666666666667,7,74.66666667,0.9,1.4,9.066666667,35
2,568865,1974,30.83333333,14.2333333333333,2.333333333,72,0.766666667,0.9,9.7,20
3,560550,1974,29.13333,16.86667,21,75.33333,1.766667,1.666667,8.033333,6
4,730175,1974,29.1,15.9,21.66666667,67.33333333,1.1,1.1,7.241414141,10
5,693315,1974,28.5,14.8666666666667,7.666666667,72,0.433333333,1.46666666666667,9.3,9
6,850805,1974,27.66666667,12.8333333333333,2.666666667,74.66666667,0.433333333,0.866666666666667,6.554666667,37
7,667230,1974,28.36666667,13.0666666666667,0,77.66666667,0.9,1.06666666666667,7.313793103,9
8,606000,1974,30.13333333,13.4666666666667,5.333333333,69.66666667,0.9,1.2,8.2,7
9,887195,1974,28.86666667,15.9333333333333,1.333333333,70,0.7,1.13333333333333,7.49,4
11,633920,1974,28.43333333,17.5666666666667,23.66666667,73.66666667,0.566666667,1,7.306896552,6
12,446800,1974,29.73333333,12.3333333333333,4,70,1.3,1.26666666666667,7.026436782,14
13,587250,1974,28.8,15.8666666666667,15.18803419,76.78632479,0.866666667,1.3,6.843678161,3
14,1074320,1974,29.16666667,14.1666666666667,3,69,0.2,0.866666666666667,7.307619048,20
16,1276235,1974,27.3,13.3666666666667,3.666666667,83.33333333,0.6,1.3,7.026666667,34
17,941960,1974,28.83333333,14.7666666666667,2.666666667,75.33333333,1.066666667,1.43333333333333,9.366666667,35
2,560625,1975,29.16666667,13.2666666666667,0.333333333,73,0.666666667,0.733333333333333,9.6,20
3,567500,1975,32.5,15.5,48.33333,77,1.166667,1.533333,8.233333,6
4,876395,1975,29.23333333,14.7666666666667,42.66666667,64.33333333,0.733333333,1.33333333333333,7.241414141,10
5,703365,1975,28.73333333,14.0666666666667,8.333333333,71,0.333333333,1.5,9.166666667,9
6,802370,1975,27.66666667,12.8333333333333,2.666666667,74.66666667,0.433333333,0.866666666666667,6.554666667,37
7,716635,1975,28.53333333,14.2,6,74.33333333,1.066666667,1.2,7.313793103,9
8,604170,1975,31.33333333,12.8333333333333,2.333333333,71.33333333,1.066666667,1.2,7.666666667,7
9,972010,1975,29.76666667,15.8,6.666666667,71.66666667,0.733333333,1.06666666666667,7.49,4
11,710485,1975,28.23333333,15.6,39.66666667,75,0.4,0.866666666666667,7.306896552,6
12,533595,1975,29.2,12.3666666666667,20,70,1.033333333,1.1,7.026436782,14
13,607385,1975,29.4,15.4,33.66666667,74.66666667,0.466666667,1.53333333333333,6.843678161,3
14,1069450,1975,28.53333333,13.5666666666667,0.333333333,69,0.333333333,0.666666666666667,7.307619048,20
16,1317170,1975,27.3,13.3666666666667,0,91.33333333,0.233333333,1.03333333333333,7.026666667,34
17,1110660,1975,28.56666667,14.7,32,73.66666667,0.8,1.46666666666667,9.566666667,35
2,580140,1976,32.06666667,14.2666666666667,2,74.33333333,0.6,1.03333333333333,9.3,20
3,561400,1976,30.03333,16.43333,87.33333,75,1.4,1.433333,8.233333,6
4,913665,1976,29.8,14.5333333333333,3.333333333,65,1.633333333,1.4,7.241414141,10
5,730900,1976,29.5,14.6333333333333,2.666666667,70.33333333,0.333333333,1.46666666666667,8.066666667,9
6,808620,1976,27.66666667,12.8333333333333,2.666666667,74.66666667,0.433333333,0.866666666666667,6.554666667,37
7,753500,1976,29.63333333,14.8,1.333333333,75,0.4,1.1,7.313793103,9
8,621995,1976,31.16666667,13.0666666666667,1.666666667,68.66666667,0.7,1.3,7.566666667,7
9,964425,1976,31.26666667,16.8,5,69,0.633333333,1.36666666666667,7.49,4
11,731215,1976,28.03333333,15.9333333333333,41.33333333,77.33333333,0.333333333,1,7.306896552,6
12,583325,1976,29.93333333,12.6333333333333,1,67.66666667,0.6,1.23333333333333,7.026436782,14
13,609500,1976,29.26666667,16.0333333333333,15.33333333,77.33333333,0.8,1.63333333333333,6.843678161,3
14,1085795,1976,30.53333333,14.2666666666667,1.666666667,69.33333333,0.266666667,0.966666666666667,7.307619048,20
16,1302095,1976,27.3,13.3666666666667,0.333333333,88,0.333333333,1.46666666666667,7.026666667,34
17,907990,1976,28.7,14.7,20.33333333,74.66666667,0.7,1.43333333333333,8.3,35
2,600340,1977,34.26666667,14.3333333333333,24.66666667,74.66666667,0.633333333,1.1,8.766666667,20
3,572800,1977,31.23333,16,11.66667,73.33333,1.366667,1.433333,8.766667,6
4,919125,1977,28.76666667,15.1,13.66666667,77,0.8,1.16666666666667,7.241414141,10
5,711320,1977,31.83333333,14.6666666666667,11.33333333,73,0.366666667,1.7,8.033333333,9
6,805740,1977,27.66666667,12.8333333333333,2.666666667,74.66666667,0.433333333,0.866666666666667,6.554666667,37
7,710095,1977,29,15.3333333333333,4,74.33333333,0.3,1.26666666666667,7.313793103,9
8,653325,1977,30.1,13.9666666666667,24.33333333,74.33333333,0.766666667,1.73333333333333,8.1,7
9,960385,1977,29.8,16.0666666666667,13.33333333,72.66666667,0.433333333,1.3,7.49,4
11,725785,1977,28.03333333,15.9333333333333,16.33333333,77.33333333,0.333333333,1,7.306896552,6
12,546730,1977,31.53333333,13.4333333333333,22.66666667,71,0.633333333,1.5,7.026436782,14
13,607165,1977,30.7,15.9333333333333,15.66666667,75.66666667,0.7,2.06666666666667,6.843678161,3
14,1064535,1977,30.16666667,15.2,14.66666667,72,0.633333333,1.46666666666667,7.307619048,20
16,1307100,1977,28.46666667,13.4,5.666666667,83.33333333,0.433333333,1.4,7.026666667,34
17,905000,1977,28.73333333,14.4333333333333,19.33333333,75.66666667,1,1.63333333333333,8.066666667,35
2,597820,1978,29.56666667,14.6666666666667,5.666666667,74,0.633333333,1.2,8.466666667,20
3,573240,1978,30.9,16.6,0.333333,72.33333,1.6,1.066667,8.8,6
4,898490,1978,29.03333333,14.9,14,75,0.6,1,7.241414141,10
5,734595,1978,30.33333333,14.6666666666667,1,69.33333333,0.466666667,1.3,8.233333333,9
6,807740,1978,27.66666667,12.8333333333333,2.666666667,74.66666667,0.433333333,0.866666666666667,6.554666667,37
7,724100,1978,30.03333333,15.7666666666667,3,73.33333333,0.233333333,0.833333333333333,7.313793103,9
8,660790,1978,29.3,14.1333333333333,21.33333333,73.66666667,0.766666667,1.5,8.066666667,7
9,922595,1978,30.43333333,17.2666666666667,4,69,0.366666667,0.666666666666667,7.49,4
11,774130,1978,29.23333333,16.0333333333333,15.66666667,75.33333333,0.333333333,1.13333333333333,7.306896552,6
12,535450,1978,29.26666667,13.4666666666667,8,69,1,1.3,7.026436782,14
13,621120,1978,30.5,16.7333333333333,34.66666667,74.66666667,0.666666667,0.866666666666667,6.843678161,3
14,1061840,1978,28.7,14.7,23,72,1.233333333,0.833333333333333,7.446666667,20
16,1289800,1978,26.83333333,13.6,2.666666667,71.66666667,0.4,0.966666666666667,7.199047619,34
17,947345,1978,29.2,14.8,4,73.33333333,0.866666667,1.7,9.1,35
1,962920,1979,30.4,15.9333333333333,26,78.66666667,0.333333333,1.1,8.7,4
2,632710,1979,30.53333333,15.3666666666667,16.66666667,74.66666667,0.633333333,1.2,8.3,20
3,608535,1979,29.43333,17.26667,29.33333,73.33333,1.633333,1.266667,8.733333,6
4,914885,1979,29.8,15.7666666666667,12.66666667,77.33333333,0.666666667,0.933333333333333,7.241414141,10
5,696170,1979,29.3,15.7,36.33333333,73.66666667,0.333333333,1.26666666666667,7.733333333,9
6,850635,1979,27.56666667,12.8666666666667,2.666666667,74.66666667,0.433333333,0.866666666666667,6.554666667,37
7,660130,1979,29.3,16.6666666666667,25.33333333,75.66666667,0.2,1.03333333333333,7.313793103,9
8,645155,1979,30.16666667,15.5,20,71,0.966666667,1.56666666666667,7.6,7
9,977685,1979,30.66666667,18.1,10.33333333,74.33333333,0.333333333,0.966666666666667,7.49,4
11,776810,1979,30.16666667,17.2666666666667,28.66666667,70,0.6,1.4,7.306896552,6
12,517465,1979,30.76666667,14.1333333333333,18.66666667,72.66666667,0.566666667,1.4,7.026436782,14
13,659360,1979,29.03333333,17.5333333333333,30.66666667,77.33333333,0.6,0.933333333333333,6.843678161,3
14,1045610,1979,29.53333333,15.3,28.33333333,75.66666667,0.9,1.23333333333333,7.833333333,20
15,69010,1979,29.3,18.9333333333333,42.33333333,78.33333333,1.1,2.9,7.448148148,63
16,1341590,1979,27.43333333,14.2,15.33333333,76.66666667,0.366666667,0.966666666666667,7.766666667,34
17,1098550,1979,28.7,15.4333333333333,13,75.33333333,1,1.56666666666667,8.066666667,35
1,926545,1980,29.5,14.8333333333333,8,77.33333333,0.433333333,1.33333333333333,8.5,4
2,623220,1980,30,15.0333333333333,10.66666667,74.66666667,0.633333333,1.13333333333333,8.6,20
3,554020,1980,29.86667,16.6,8.333333,72,1.266667,1.366667,8.366667,6
4,915980,1980,29.7,14.3666666666667,6,74,0.6,1.1,7.367676768,10
5,655420,1980,29.46666667,15.3333333333333,3.333333333,69.66666667,0.3,1.56666666666667,7.9,9
6,884660,1980,27.63333333,13.0666666666667,10.33333333,74.66666667,1.2,1.46666666666667,6.554666667,37
7,686535,1980,29.13333333,15.5,10.66666667,74.33333333,0.4,1,7.313793103,9
8,668185,1980,30.63333333,14.3,2.666666667,68.66666667,0.933333333,1.7,7.466666667,7
9,989470,1980,29.56666667,15.1333333333333,8,77.33333333,0.9,1.4,7.49,4
11,747285,1980,31.2,16.4666666666667,37,71,0.033333333,1.16666666666667,7.306896552,6
12,533160,1980,28.53333333,14.2333333333333,10,72.33333333,0.7,1.43333333333333,7.026436782,14
13,685735,1980,29.03333333,16.7666666666667,27.33333333,75.66666667,1.2,1.76666666666667,6.843678161,3
14,1087435,1980,28.6,14.0333333333333,23.66666667,72.33333333,0.933333333,0.966666666666667,7.666666667,20
15,60425,1980,28.8,18.0333333333333,0.333333333,79.66666667,0.6,2.5,7.448148148,63
16,1395255,1980,28.03333333,14.3,6.666666667,75.33333333,0.433333333,1.36666666666667,9.066666667,34
17,1142490,1980,29.5,15.1666666666667,7,72,1,1.3,8.8,35
1,922570,1981,30.43333333,14.3333333333333,11,75.33333333,0.366666667,1.23333333333333,8.166666667,4
2,620545,1981,30.8,14,27.33333333,74,0.633333333,0.933333333333333,8.466666667,20
3,551645,1981,29.83333,16.6,2,72.33333,1.333333,1.3,8.1,6
4,912050,1981,30.56666667,13.9,9,72.33333333,0.433333333,0.8,8.1,10
5,652610,1981,30.73333333,14.6666666666667,14.66666667,68.66666667,0.333333333,1.2,7.766666667,9
6,880865,1981,28.7,13.1333333333333,16.33333333,71.66666667,0.533333333,1.3,6.554666667,37
7,683590,1981,30.3,14.8333333333333,30.66666667,73,0.3,0.733333333333334,7.313793103,9
8,665235,1981,31.4,13.7333333333333,49.33333333,73.66666667,0.833333333,1.56666666666667,7.233333333,7
9,985225,1981,30.63333333,14.8333333333333,21.66666667,75,0.966666667,1.2,7.49,4
11,717150,1981,30.53333333,14.8666666666667,8,68,0.1,1,7.306896552,6
12,530875,1981,30.36666667,13,16,70.66666667,0.4,0.766666666666667,7.026436782,14
13,682795,1981,30.26666667,16.7,1,66.33333333,1.5,1.6,6.843678161,3
14,1082770,1981,28.36666667,13.4,31.33333333,72,1.033333333,0.9,8.333333333,20
15,87095,1981,30.13333333,18.3,8,78.33333333,1.5,2.86666666666667,7.448148148,63
16,1389270,1981,28.43333333,13.3333333333333,15.66666667,78.33333333,0.533333333,1,9.2,34
